n	n:1000	L50	LG50	NG50	min	N80	N50	N20	E-size	max	sum	name
1870	1868	3	3	25.28e6	1001	23.48e6	25.28e6	32.05e6	25.02e6	32.05e6	142.6e6	dmelanogaster.fa
294113	13177	1998	3405	9737	1000	5860	15086	32361	20848	198759	109.5e6	abyss/k32/dmelanogaster.scaftigs.fa
283786	3857	38	66	501254	1002	226727	727742	1843180	1040686	3573643	110e6	abyss/k32/dmelanogaster.scaffolds.fa
187416	11808	1787	2865	12152	1000	6891	17370	36553	24413	199967	112.5e6	abyss/k48/dmelanogaster.scaftigs.fa
177318	2650	25	40	860542	1000	349116	1252284	2515957	1654080	6698113	113e6	abyss/k48/dmelanogaster.scaffolds.fa
153823	16787	2839	4559	7563	1000	4563	10958	23691	15338	175624	112.4e6	abyss/k64/dmelanogaster.scaftigs.fa
140547	4940	40	65	441533	1000	148148	703369	1813417	1065275	3895809	113.2e6	abyss/k64/dmelanogaster.scaffolds.fa
294107	13159	1999	3408	9731	1000	5882	15088	32334	20840	198759	109.5e6	nxtrim/abyss/k32/dmelanogaster.scaftigs.fa
283659	3715	31	56	537847	1002	258756	862697	2092499	1355352	6076161	110e6	nxtrim/abyss/k32/dmelanogaster.scaffolds.fa
224971	11341	1687	2758	12372	1000	7074	18213	39043	25043	175667	111.6e6	nxtrim/abyss/k40/dmelanogaster.scaftigs.fa
215426	2690	26	43	739280	1000	328823	1165985	2288137	1624806	6680419	112e6	nxtrim/abyss/k40/dmelanogaster.scaffolds.fa
187416	11796	1788	2866	12145	1000	6894	17367	36535	24409	199967	112.5e6	nxtrim/abyss/k48/dmelanogaster.scaftigs.fa
177413	2731	24	37	851577	1000	364481	1496091	2669606	1767836	6680271	113e6	nxtrim/abyss/k48/dmelanogaster.scaffolds.fa
169047	13893	2195	3499	9873	1000	5763	14252	30496	19656	178207	112.8e6	nxtrim/abyss/k56/dmelanogaster.scaftigs.fa
157473	3408	26	42	799676	1000	350217	1103369	2429911	1627406	6153181	113.4e6	nxtrim/abyss/k56/dmelanogaster.scaffolds.fa
153817	16781	2839	4558	7567	1000	4565	10958	23658	15340	175624	112.4e6	nxtrim/abyss/k64/dmelanogaster.scaftigs.fa
140366	4758	32	55	553150	1000	210304	795385	2282594	1435543	6973406	113.2e6	nxtrim/abyss/k64/dmelanogaster.scaffolds.fa
